epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,901.26,1.18027,1.21154,1.10076,0.62417,0.59108,0.62457,0.42585,1.27389,1.30329,1.16724,0.000424187,0.000424187,0.000424187
43,922.137,1.19798,1.36,1.12549,0.55203,0.67483,0.63572,0.42815,1.27512,1.2915,1.16793,0.000417119,0.000417119,0.000417119
44,941.965,1.20897,1.33798,1.13883,0.7568,0.57092,0.67845,0.46197,1.25787,1.16072,1.16823,0.00041005,0.00041005,0.00041005
45,963.381,1.12626,1.13255,1.11426,0.6802,0.59019,0.65261,0.45548,1.25086,1.21626,1.14203,0.000402982,0.000402982,0.000402982
46,984.82,1.12989,1.16547,1.09141,0.67995,0.6496,0.68231,0.48032,1.21516,1.15569,1.11478,0.000395913,0.000395913,0.000395913
47,1005.64,1.13109,1.23612,1.11402,0.63238,0.6526,0.64899,0.45081,1.27609,1.23444,1.15186,0.000388844,0.000388844,0.000388844
48,1026.93,1.15101,1.17942,1.10712,0.67358,0.58534,0.66029,0.4501,1.26993,1.1858,1.14381,0.000381776,0.000381776,0.000381776
49,1048.82,1.19274,1.18519,1.12195,0.74422,0.57956,0.65587,0.45307,1.26536,1.14544,1.14468,0.000374707,0.000374707,0.000374707
50,1069.99,1.11141,1.10754,1.12331,0.62516,0.60834,0.64676,0.44387,1.26205,1.16777,1.14257,0.000367639,0.000367639,0.000367639
51,1091.77,1.13854,1.1412,1.10717,0.63573,0.67848,0.6691,0.45955,1.27932,1.11271,1.14397,0.00036057,0.00036057,0.00036057
52,1112.4,1.19869,1.1974,1.12504,0.69497,0.56325,0.64827,0.42838,1.27512,1.16178,1.15109,0.000353501,0.000353501,0.000353501
53,1133.53,1.15833,1.14943,1.12299,0.69556,0.57902,0.6459,0.43528,1.28077,1.15319,1.15082,0.000346433,0.000346433,0.000346433
54,1154.91,1.12597,1.15033,1.12017,0.65877,0.60791,0.64859,0.44467,1.26846,1.17819,1.14928,0.000339364,0.000339364,0.000339364
55,1175.67,1.15228,1.19875,1.09873,0.54766,0.70263,0.63627,0.43104,1.28313,1.26617,1.16222,0.000332296,0.000332296,0.000332296
56,1198,1.13439,1.16318,1.10316,0.60103,0.65862,0.65162,0.44733,1.27384,1.16279,1.13773,0.000325227,0.000325227,0.000325227
57,1217.42,1.12471,1.11785,1.09083,0.65768,0.64507,0.66572,0.4666,1.26173,1.15483,1.15385,0.000318158,0.000318158,0.000318158
58,1239.45,1.12706,1.05339,1.10228,0.62815,0.66224,0.6757,0.46573,1.24859,1.14034,1.14658,0.00031109,0.00031109,0.00031109
59,1261.54,1.19042,1.10956,1.12364,0.61675,0.70563,0.67065,0.46088,1.26711,1.13846,1.14546,0.000304021,0.000304021,0.000304021
60,1282.04,1.11371,1.09187,1.07892,0.56901,0.65471,0.63243,0.43155,1.28581,1.18805,1.15842,0.000296953,0.000296953,0.000296953
61,1301.9,1.06952,1.09064,1.09804,0.69593,0.55068,0.64321,0.43979,1.28727,1.17221,1.16154,0.000289884,0.000289884,0.000289884
62,1323.42,1.12704,1.08946,1.11183,0.60919,0.67292,0.6593,0.44491,1.29094,1.12207,1.15062,0.000282815,0.000282815,0.000282815
63,1345.18,1.1122,1.10951,1.08072,0.73063,0.6347,0.69521,0.46726,1.29213,1.07581,1.15425,0.000275747,0.000275747,0.000275747
64,1367.69,1.17381,1.09712,1.1354,0.63685,0.69451,0.69273,0.46913,1.28505,1.06612,1.15803,0.000268678,0.000268678,0.000268678
65,1389.69,1.05039,0.97097,1.06796,0.65709,0.64047,0.65228,0.43668,1.27615,1.14056,1.14922,0.00026161,0.00026161,0.00026161
66,1411.04,1.03785,0.98387,1.06098,0.65232,0.67522,0.65817,0.44849,1.27108,1.13186,1.14693,0.000254541,0.000254541,0.000254541
67,1431.67,1.11167,0.96396,1.07562,0.71939,0.61896,0.67837,0.45861,1.28836,1.1343,1.14751,0.000247472,0.000247472,0.000247472
68,1452.78,1.07753,0.98613,1.06951,0.73397,0.61081,0.68371,0.45995,1.30428,1.13299,1.1641,0.000240404,0.000240404,0.000240404
69,1475.17,1.14901,1.03735,1.0818,0.58023,0.7304,0.67276,0.46055,1.26677,1.13666,1.15548,0.000233335,0.000233335,0.000233335
70,1495.39,1.09426,1.01853,1.08426,0.67026,0.62878,0.6717,0.45162,1.25129,1.11027,1.15545,0.000226267,0.000226267,0.000226267
71,1515.73,1.05202,0.984,1.06718,0.63098,0.61492,0.65066,0.43655,1.26898,1.16824,1.15609,0.000219198,0.000219198,0.000219198
72,1536.73,1.06496,0.97895,1.06633,0.63905,0.6476,0.64539,0.43588,1.25862,1.11404,1.14574,0.000212129,0.000212129,0.000212129
73,1557.63,1.09014,0.91374,1.05814,0.71671,0.61392,0.64988,0.44593,1.26051,1.11147,1.13793,0.000205061,0.000205061,0.000205061
74,1579.92,1.09282,0.94603,1.07771,0.68706,0.60147,0.66076,0.46183,1.26007,1.11792,1.13562,0.000197992,0.000197992,0.000197992
75,1600.32,1.04855,0.94808,1.03811,0.64975,0.62186,0.66707,0.46744,1.24397,1.10339,1.12727,0.000190924,0.000190924,0.000190924
76,1620.82,1.06604,0.89978,1.0623,0.71007,0.58424,0.66316,0.46366,1.26045,1.13581,1.14299,0.000183855,0.000183855,0.000183855
77,1642.56,1.04247,0.91277,1.07007,0.71143,0.59733,0.66535,0.46489,1.25977,1.10441,1.14809,0.000176786,0.000176786,0.000176786
78,1664.06,1.10016,0.96322,1.07974,0.70993,0.57605,0.66155,0.46088,1.26589,1.12287,1.14852,0.000169718,0.000169718,0.000169718
79,1683.98,1.05378,0.89206,1.07218,0.64924,0.65413,0.68172,0.46435,1.25501,1.10615,1.14237,0.000162649,0.000162649,0.000162649
80,1705.76,1.02502,0.92767,1.05089,0.6655,0.65633,0.68016,0.4664,1.2464,1.12179,1.13388,0.000155581,0.000155581,0.000155581
81,1727.44,1.03626,0.87445,1.07893,0.68036,0.67966,0.66813,0.45836,1.25698,1.10854,1.13902,0.000148512,0.000148512,0.000148512
82,1748.05,0.9669,0.82234,1.04021,0.62802,0.67949,0.6701,0.45706,1.26743,1.10599,1.14609,0.000141443,0.000141443,0.000141443
83,1769.08,1.0391,0.88919,1.0592,0.59016,0.70196,0.65433,0.44359,1.2703,1.13083,1.14648,0.000134375,0.000134375,0.000134375
84,1790.84,1.02197,0.87898,1.05029,0.65422,0.65326,0.65744,0.45354,1.25575,1.13551,1.13994,0.000127306,0.000127306,0.000127306
