epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7354,1.41287,3.57763,1.32669,0.70652,0.1493,0.16632,0.10857,1.27188,3.06003,1.15978,0.000236096,0.000236096,0.000236096
2,50.5244,1.4036,3.08796,1.25514,0.29159,0.4088,0.24985,0.15329,1.3122,2.35516,1.17151,0.000380225,0.000380225,0.000380225
3,71.6034,1.34851,2.73931,1.24868,0.31069,0.43104,0.28019,0.17316,1.30891,2.18123,1.15429,0.000430106,0.000430106,0.000430106
4,91.2515,1.30852,2.65221,1.21595,0.34436,0.43834,0.29252,0.18101,1.31308,2.13218,1.16531,0.000289884,0.000289884,0.000289884
5,112.631,1.32742,2.54336,1.21293,0.3797,0.45346,0.32332,0.2102,1.28477,2.10336,1.15984,0.000148512,0.000148512,0.000148512
