epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,902.575,1.17655,1.03162,1.32038,0.56878,0.57758,0.59059,0.38831,1.35564,1.18039,1.45007,0.000424187,0.000424187,0.000424187
43,922.578,1.16629,0.99015,1.25902,0.73297,0.46496,0.60313,0.37929,1.38535,1.17681,1.4482,0.000417119,0.000417119,0.000417119
44,942.038,1.1319,0.93723,1.2508,0.68786,0.52977,0.59121,0.39064,1.36637,1.186,1.46011,0.00041005,0.00041005,0.00041005
45,961.557,1.11346,0.86207,1.20848,0.54789,0.627,0.62796,0.41535,1.32465,1.27681,1.45911,0.000402982,0.000402982,0.000402982
46,980.932,1.14836,0.86339,1.26877,0.57323,0.60848,0.6353,0.41597,1.31828,1.144,1.43346,0.000395913,0.000395913,0.000395913
47,1000.5,1.17573,0.98985,1.28177,0.72758,0.61842,0.69516,0.45618,1.31201,1.04442,1.40566,0.000388844,0.000388844,0.000388844
48,1021,1.08176,0.81854,1.21808,0.62932,0.54643,0.61365,0.40109,1.2996,1.17083,1.3896,0.000381776,0.000381776,0.000381776
49,1040.91,1.12472,0.88734,1.28126,0.78377,0.53985,0.65919,0.45187,1.31228,1.12981,1.41488,0.000374707,0.000374707,0.000374707
50,1060.3,1.10538,0.92328,1.23502,0.59465,0.60907,0.61133,0.39201,1.36053,1.25311,1.43127,0.000367639,0.000367639,0.000367639
51,1080.2,1.20076,0.94255,1.29592,0.57804,0.65635,0.62701,0.40803,1.33151,1.10396,1.39941,0.00036057,0.00036057,0.00036057
52,1103.6,1.1787,0.95658,1.28224,0.56127,0.67133,0.66778,0.44255,1.32424,1.12683,1.40978,0.000353501,0.000353501,0.000353501
53,1127.14,1.19732,0.97206,1.3445,0.63977,0.61383,0.65078,0.42547,1.32109,1.1085,1.40778,0.000346433,0.000346433,0.000346433
54,1150.59,1.08033,0.84806,1.23303,0.72698,0.57257,0.66621,0.45217,1.28027,1.05942,1.37072,0.000339364,0.000339364,0.000339364
55,1174.13,1.14232,0.89049,1.28924,0.58134,0.56548,0.64587,0.42632,1.30247,1.12207,1.37485,0.000332296,0.000332296,0.000332296
56,1195.89,1.05209,0.86093,1.30645,0.57061,0.55229,0.59883,0.40433,1.3043,1.11769,1.38618,0.000325227,0.000325227,0.000325227
57,1215.39,1.1803,0.94079,1.25854,0.73273,0.57956,0.67498,0.45979,1.30583,1.04761,1.40559,0.000318158,0.000318158,0.000318158
58,1235.98,1.101,0.74984,1.2403,0.73121,0.64967,0.69224,0.46353,1.33539,1.10196,1.43722,0.00031109,0.00031109,0.00031109
59,1256.04,1.15291,0.85372,1.28271,0.62614,0.62456,0.67064,0.4575,1.28469,1.12122,1.40652,0.000304021,0.000304021,0.000304021
60,1275.58,1.05715,0.81624,1.21074,0.68753,0.52443,0.67142,0.451,1.32273,1.08703,1.41785,0.000296953,0.000296953,0.000296953
61,1295.08,1.04823,0.81899,1.24809,0.59295,0.66737,0.67401,0.45972,1.30072,1.05723,1.40475,0.000289884,0.000289884,0.000289884
62,1316.89,1.11982,0.88341,1.22001,0.70075,0.59834,0.66534,0.4465,1.3137,1.08649,1.40622,0.000282815,0.000282815,0.000282815
63,1340.59,1.19149,0.82365,1.29097,0.7069,0.58366,0.68447,0.46525,1.28417,1.03185,1.38793,0.000275747,0.000275747,0.000275747
64,1365.01,1.10792,0.74553,1.25581,0.64764,0.67184,0.69521,0.47321,1.30543,1.05994,1.39252,0.000268678,0.000268678,0.000268678
65,1389.2,1.05804,0.88735,1.24635,0.73662,0.62907,0.71269,0.49851,1.2583,1.01392,1.39631,0.00026161,0.00026161,0.00026161
66,1413.28,1.07654,0.79697,1.23307,0.54893,0.68236,0.67232,0.45651,1.31339,1.0838,1.46879,0.000254541,0.000254541,0.000254541
67,1433.47,1.0431,0.8856,1.17156,0.70331,0.62659,0.69301,0.46518,1.29187,1.03568,1.43009,0.000247472,0.000247472,0.000247472
68,1452.94,1.10991,0.78583,1.27918,0.74291,0.59332,0.71257,0.47673,1.31257,1.07416,1.44277,0.000240404,0.000240404,0.000240404
69,1473.18,1.13113,0.73641,1.22154,0.66641,0.62556,0.7011,0.48002,1.29251,1.05944,1.43477,0.000233335,0.000233335,0.000233335
70,1492.68,1.04707,0.75201,1.2089,0.74832,0.53789,0.66908,0.44497,1.31567,1.10277,1.43287,0.000226267,0.000226267,0.000226267
71,1512.26,0.91716,0.68615,1.13714,0.71557,0.59255,0.67235,0.45698,1.31817,1.11653,1.43603,0.000219198,0.000219198,0.000219198
72,1531.63,1.06989,0.71212,1.23219,0.70553,0.5331,0.62722,0.42521,1.31068,1.19935,1.40265,0.000212129,0.000212129,0.000212129
73,1551.06,1.10456,0.82243,1.22937,0.66491,0.62073,0.65683,0.43662,1.2959,1.12169,1.4101,0.000205061,0.000205061,0.000205061
74,1570.64,0.98913,0.67855,1.15489,0.63804,0.61483,0.67089,0.45759,1.29737,1.12789,1.38662,0.000197992,0.000197992,0.000197992
75,1590.18,1.05528,0.7567,1.21136,0.62898,0.67983,0.69569,0.46983,1.28858,1.02209,1.37621,0.000190924,0.000190924,0.000190924
76,1609.54,0.98098,0.71136,1.1517,0.60365,0.72265,0.70096,0.48742,1.27702,1.01263,1.37362,0.000183855,0.000183855,0.000183855
77,1628.99,0.92767,0.69366,1.1489,0.57883,0.7042,0.70012,0.47919,1.26643,1.0438,1.39005,0.000176786,0.000176786,0.000176786
78,1648.42,0.97162,0.69898,1.16634,0.7322,0.56344,0.70634,0.48191,1.28056,1.04984,1.39849,0.000169718,0.000169718,0.000169718
79,1667.95,0.87742,0.5887,1.15658,0.6269,0.62238,0.69214,0.47977,1.27586,1.0866,1.3832,0.000162649,0.000162649,0.000162649
80,1687.66,0.98873,0.65036,1.1375,0.61529,0.69909,0.6957,0.4744,1.30626,1.07264,1.41181,0.000155581,0.000155581,0.000155581
81,1707.24,0.87001,0.6332,1.1571,0.64798,0.64384,0.6886,0.46359,1.30363,1.08528,1.41973,0.000148512,0.000148512,0.000148512
82,1728.96,0.96302,0.64031,1.13341,0.65494,0.67702,0.71359,0.48261,1.28859,1.01561,1.416,0.000141443,0.000141443,0.000141443
83,1751.49,0.93996,0.65396,1.16728,0.6845,0.69852,0.70216,0.48806,1.2843,1.03251,1.41211,0.000134375,0.000134375,0.000134375
84,1773.93,0.85827,0.62392,1.12548,0.6847,0.61886,0.69794,0.48486,1.27917,1.08066,1.40835,0.000127306,0.000127306,0.000127306
85,1796.3,0.94284,0.61123,1.11561,0.61529,0.68763,0.70372,0.49313,1.27281,1.06357,1.40487,0.000120238,0.000120238,0.000120238
86,1818.97,1.02607,0.69743,1.15657,0.63136,0.70669,0.7091,0.48661,1.28053,1.03883,1.41752,0.000113169,0.000113169,0.000113169
87,1841.44,0.9305,0.63415,1.13502,0.73758,0.64783,0.7311,0.50529,1.27121,1.02714,1.40474,0.0001061,0.0001061,0.0001061
88,1864.59,0.9279,0.59665,1.17684,0.65827,0.68297,0.7047,0.48149,1.28118,1.08632,1.40022,9.90318e-05,9.90318e-05,9.90318e-05
89,1886.24,0.98365,0.57524,1.12999,0.71661,0.64258,0.69745,0.48401,1.27394,1.11808,1.39645,9.19632e-05,9.19632e-05,9.19632e-05
