epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5419,1.41147,3.58827,1.33417,0.70041,0.1601,0.15166,0.09939,1.27003,3.09849,1.17406,0.000236096,0.000236096,0.000236096
2,61.7868,1.40391,3.08911,1.26875,0.29483,0.41765,0.26461,0.16026,1.29843,2.3552,1.18081,0.000380225,0.000380225,0.000380225
3,84.9185,1.389,2.67744,1.2591,0.28449,0.43477,0.28653,0.18339,1.32478,2.15935,1.16394,0.000430106,0.000430106,0.000430106
4,106.01,1.32339,2.62809,1.22562,0.31372,0.50965,0.31076,0.19932,1.33996,2.06958,1.18033,0.000289884,0.000289884,0.000289884
5,130.974,1.36107,2.52191,1.24087,0.36281,0.50995,0.32796,0.21382,1.31643,1.99281,1.1762,0.000148512,0.000148512,0.000148512
