epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8657,1.42451,3.58516,1.33702,0.71854,0.12222,0.14208,0.09438,1.29191,3.13916,1.15566,0.000236096,0.000236096,0.000236096
2,45.6913,1.3979,3.11154,1.2432,0.29762,0.37932,0.25961,0.16363,1.29442,2.42238,1.1604,0.000380225,0.000380225,0.000380225
3,65.4313,1.392,2.72044,1.24595,0.33974,0.38861,0.28446,0.18094,1.32448,2.24141,1.18076,0.000430106,0.000430106,0.000430106
4,84.9921,1.32026,2.6456,1.21539,0.35087,0.48974,0.32753,0.21703,1.31204,2.06102,1.16447,0.000289884,0.000289884,0.000289884
5,104.824,1.3418,2.46462,1.21907,0.39438,0.43036,0.35284,0.2385,1.27465,1.96441,1.16392,0.000148512,0.000148512,0.000148512
